step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
31480,23.3084,17.228617,1,157936.83,0.1717,0
31500,23.3232,17.228617,1,0.00,0.0000,0
31520,23.3380,17.249003,1,1376673.89,1.4966,0
31540,23.3528,17.251342,1,157936.83,0.1717,0
31560,23.3676,17.251342,1,0.00,0.0000,0
31580,23.3824,17.271728,1,1376673.89,1.4966,0
31600,23.3972,17.274067,1,157936.83,0.1717,0
31620,23.4120,17.292114,1,1218737.07,1.3249,0
31640,23.4268,17.294453,1,157936.83,0.1717,0
31660,23.4416,17.312501,1,1218737.07,1.3249,0
31680,23.4565,17.314839,1,157936.83,0.1717,0
31700,23.4713,17.337564,1,1534610.72,1.6682,0
31720,23.4861,17.337564,1,0.00,0.0000,0
31740,23.5009,17.355612,1,1218737.07,1.3249,0
31760,23.5157,17.357951,1,157936.83,0.1717,0
31780,23.5305,17.360289,1,157936.83,0.1717,0
31800,23.5453,17.378337,1,1218737.07,1.3249,0
31820,23.5601,17.380676,1,157936.83,0.1717,0
31840,23.5749,17.383015,1,157936.83,0.1717,0
31860,23.5897,17.403401,1,1376673.89,1.4966,0
31880,23.6045,17.403401,1,0.00,0.0000,0
31900,23.6193,17.423787,1,1376673.89,1.4966,0
31920,23.6342,17.426126,1,157936.83,0.1717,0
31940,23.6490,17.444173,1,1218737.07,1.3249,0
31960,23.6638,17.446512,1,157936.83,0.1717,0
31980,23.6786,17.448851,1,157936.83,0.1717,0
32000,23.6934,17.466898,1,1218737.07,1.3249,0
32020,23.7082,17.469237,1,157936.83,0.1717,0
32040,23.7230,17.487285,1,1218737.07,1.3249,0
32060,23.7378,17.491962,1,315873.65,0.3434,0
32080,23.7526,17.507671,1,1060800.24,1.1532,0
32100,23.7674,17.512349,1,315873.65,0.3434,0
32120,23.7822,17.512349,1,0.00,0.0000,0
32140,23.7970,17.530396,1,1218737.07,1.3249,0
32160,23.8119,17.532735,1,157936.83,0.1717,0
32180,23.8267,17.535074,1,157936.83,0.1717,0
32200,23.8415,17.557799,1,1534610.72,1.6682,0
32220,23.8563,17.575846,1,1218737.07,1.3249,0
32240,23.8711,17.578185,1,157936.83,0.1717,0
32260,23.8859,17.578185,1,0.00,0.0000,0
32280,23.9007,17.598571,1,1376673.89,1.4966,0
32300,23.9155,17.600910,1,157936.83,0.1717,0
32320,23.9303,17.618958,1,1218737.07,1.3249,0
32340,23.9451,17.621296,1,157936.83,0.1717,0
32360,23.9599,17.623635,1,157936.83,0.1717,0
32380,23.9747,17.641683,1,1218737.07,1.3249,0
32400,23.9896,17.644022,1,157936.83,0.1717,0
32420,24.0044,17.662069,1,1218737.07,1.3249,0
32440,24.0192,17.664408,1,157936.83,0.1717,0
32460,24.0340,17.666747,1,157936.83,0.1717,0
32480,24.0488,17.687133,1,1376673.89,1.4966,0
32500,24.0636,17.707519,1,1376673.89,1.4966,0
32520,24.0784,17.707519,1,0.00,0.0000,0
32540,24.0932,17.709858,1,157936.83,0.1717,0
32560,24.1080,17.727905,1,1218737.07,1.3249,0
32580,24.1228,17.730244,1,157936.83,0.1717,0
32600,24.1376,17.750631,1,1376673.89,1.4966,0
32620,24.1524,17.750631,1,0.00,0.0000,0
32640,24.1673,17.752969,1,157936.83,0.1717,0
32660,24.1821,17.773356,1,1376673.89,1.4966,0
32680,24.1969,17.775694,1,157936.83,0.1717,0
32700,24.2117,17.796081,1,1376673.89,1.4966,0
32720,24.2265,17.796081,1,0.00,0.0000,0
32740,24.2413,17.816467,1,1376673.89,1.4966,0
32760,24.2561,17.818806,1,157936.83,0.1717,0
32780,24.2709,17.836853,1,1218737.07,1.3249,0
32800,24.2857,17.839192,1,157936.83,0.1717,0
32820,24.3005,17.859578,1,1376673.89,1.4966,0
32840,24.3153,17.861917,1,157936.83,0.1717,0
32860,24.3301,17.861917,1,0.00,0.0000,0
32880,24.3450,17.879965,1,1218737.07,1.3249,0
32900,24.3598,17.882303,1,157936.83,0.1717,0
32920,24.3746,17.884642,1,157936.83,0.1717,0
32940,24.3894,17.905029,1,1376673.89,1.4966,0
32960,24.4042,17.905029,1,0.00,0.0000,0
32980,24.4190,17.925415,1,1376673.89,1.4966,0
33000,24.4338,17.927754,1,157936.83,0.1717,0
33020,24.4486,17.945801,1,1218737.07,1.3249,0
33040,24.4634,17.948140,1,157936.83,0.1717,0
33060,24.4782,17.948140,1,0.00,0.0000,0
33080,24.4930,17.970865,1,1534610.72,1.6682,0
33100,24.5078,17.970865,1,0.00,0.0000,0
33120,24.5227,17.991251,1,1376673.89,1.4966,0
33140,24.5375,17.991251,1,0.00,0.0000,0
33160,24.5523,17.993590,1,157936.83,0.1717,0
33180,24.5671,18.013976,1,1376673.89,1.4966,0
33200,24.5819,18.032024,1,1218737.07,1.3249,0
33220,24.5967,18.034363,1,157936.83,0.1717,0
33240,24.6115,18.036701,1,157936.83,0.1717,0
33260,24.6263,18.054749,1,1218737.07,1.3249,0
33280,24.6411,18.057088,1,157936.83,0.1717,0
33300,24.6559,18.075135,1,1218737.07,1.3249,0
33320,24.6707,18.077474,1,157936.83,0.1717,0
33340,24.6855,18.079813,1,157936.83,0.1717,0
33360,24.7004,18.100199,1,1376673.89,1.4966,0
33380,24.7152,18.102538,1,157936.83,0.1717,0
33400,24.7300,18.120585,1,1218737.07,1.3249,0
33420,24.7448,18.122924,1,157936.83,0.1717,0
33440,24.7596,18.140972,1,1218737.07,1.3249,0
33460,24.7744,18.143310,1,157936.83,0.1717,0
33480,24.7892,18.163697,1,1376673.89,1.4966,0
33500,24.8040,18.166036,1,157936.83,0.1717,0
33520,24.8188,18.184083,1,1218737.07,1.3249,0
33540,24.8336,18.186422,1,157936.83,0.1717,0
33560,24.8484,18.188761,1,157936.83,0.1717,0
33580,24.8632,18.206808,1,1218737.07,1.3249,0
33600,24.8781,18.209147,1,157936.83,0.1717,0
33620,24.8929,18.229533,1,1376673.89,1.4966,0
33640,24.9077,18.231872,1,157936.83,0.1717,0
33660,24.9225,18.249919,1,1218737.07,1.3249,0
33680,24.9373,18.252258,1,157936.83,0.1717,0
33700,24.9521,18.270306,1,1218737.07,1.3249,0
33720,24.9669,18.290692,1,1376673.89,1.4966,0
33740,24.9817,18.293031,1,157936.83,0.1717,0
33760,24.9965,18.295370,1,157936.83,0.1717,0
33780,25.0113,18.315756,1,1376673.89,1.4966,0
33800,25.0261,18.318095,1,157936.83,0.1717,0
33820,25.0409,18.336142,1,1218737.07,1.3249,0
33840,25.0558,18.338481,1,157936.83,0.1717,0
33860,25.0706,18.358867,1,1376673.89,1.4966,0
33880,25.0854,18.361206,1,157936.83,0.1717,0
33900,25.1002,18.361206,1,0.00,0.0000,0
33920,25.1150,18.381592,1,1376673.89,1.4966,0
33940,25.1298,18.383931,1,157936.83,0.1717,0
33960,25.1446,18.404317,1,1376673.89,1.4966,0
33980,25.1594,18.420026,1,1060800.24,1.1532,0
34000,25.1742,18.424704,1,315873.65,0.3434,0
34020,25.1890,18.427043,1,157936.83,0.1717,0
34040,25.2038,18.445090,1,1218737.07,1.3249,0
34060,25.2186,18.447429,1,157936.83,0.1717,0
34080,25.2335,18.447429,1,0.00,0.0000,0
34100,25.2483,18.467815,1,1376673.89,1.4966,0
34120,25.2631,18.470154,1,157936.83,0.1717,0
34140,25.2779,18.488201,1,1218737.07,1.3249,0
34160,25.2927,18.490540,1,157936.83,0.1717,0
34180,25.3075,18.508588,1,1218737.07,1.3249,0
34200,25.3223,18.510927,1,157936.83,0.1717,0
34220,25.3371,18.531313,1,1376673.89,1.4966,0
34240,25.3519,18.533652,1,157936.83,0.1717,0
34260,25.3667,18.533652,1,0.00,0.0000,0
34280,25.3815,18.554038,1,1376673.89,1.4966,0
34300,25.3963,18.556377,1,157936.83,0.1717,0
34320,25.4112,18.574424,1,1218737.07,1.3249,0
34340,25.4260,18.576763,1,157936.83,0.1717,0
34360,25.4408,18.594810,1,1218737.07,1.3249,0
34380,25.4556,18.599488,1,315873.65,0.3434,0
34400,25.4704,18.617536,1,1218737.07,1.3249,0
34420,25.4852,18.619874,1,157936.83,0.1717,0
34440,25.5000,18.637922,1,1218737.07,1.3249,0
34460,25.5148,18.642599,1,315873.65,0.3434,0
34480,25.5296,18.642599,1,0.00,0.0000,0
34500,25.5444,18.660647,1,1218737.07,1.3249,0
34520,25.5592,18.683372,1,1534610.72,1.6682,0
34540,25.5740,18.683372,1,0.00,0.0000,0
34560,25.5889,18.685711,1,157936.83,0.1717,0
34580,25.6037,18.703758,1,1218737.07,1.3249,0
34600,25.6185,18.706097,1,157936.83,0.1717,0
34620,25.6333,18.724145,1,1218737.07,1.3249,0
34640,25.6481,18.728822,1,315873.65,0.3434,0
34660,25.6629,18.728822,1,0.00,0.0000,0
34680,25.6777,18.749208,1,1376673.89,1.4966,0
34700,25.6925,18.751547,1,157936.83,0.1717,0
34720,25.7073,18.751547,1,0.00,0.0000,0
34740,25.7221,18.771934,1,1376673.89,1.4966,0
34760,25.7369,18.774272,1,157936.83,0.1717,0
