step,t_s,elastic,kinetic,fracture,total
0,0.0,18.2645331776774,2.1370557161588615e-24,0.0033170034766483907,18.26785018115405
20,1.4808366708545512e-08,18.264012920571705,0.00020102776640615493,0.0036243957516101234,18.26783834408972
40,2.9616733417091025e-08,18.262563639795715,0.0006138165693340534,0.004452122009925554,18.267629578374976
60,4.442510012563654e-08,18.26063762772418,0.0010655981303937935,0.005656213456968995,18.267359439311544
80,5.923346683418205e-08,18.258229608512476,0.0014877046163152058,0.007307666723513758,18.267024979852305
100,7.404183354272756e-08,18.256019735161487,0.0018922787985756172,0.008817137373597583,18.26672915133366
120,8.885020025127308e-08,18.25336032383591,0.002293722839514026,0.010774947980838341,18.266428994656263
140,1.0365856695981859e-07,18.2508509773493,0.0027148710139411492,0.012661678917357727,18.266227527280602
160,1.184669336683641e-07,18.248129077843057,0.0031489754560467724,0.014708629577266772,18.26598668287637
180,1.332753003769096e-07,18.245699235130168,0.0035913398072780285,0.016674499582776378,18.265965074520224
200,1.4808366708545512e-07,18.242649708206798,0.0040689663859128635,0.019081586751688313,18.2658002613444
220,1.6289203379400065e-07,18.23994238641273,0.004587589407052116,0.021262342078234728,18.265792317898015
240,1.7770040050254616e-07,18.236765606362553,0.005162066153469332,0.023909350447062744,18.265837022963087
260,1.9250876721109167e-07,18.233081305642322,0.005806892002918973,0.027015651355401026,18.265903849000644
280,2.0731713391963718e-07,18.229611391868083,0.006515060274406312,0.02980148169948117,18.265927933841972
300,2.221255006281827e-07,18.22631208000285,0.007293085964132961,0.032570800015681356,18.26617596598266
320,2.369338673367282e-07,18.22290103151255,0.008141155354189605,0.03541135446298728,18.266453541329724
340,2.517422340452737e-07,18.21930140009335,0.009060817189072238,0.03827016018986242,18.266632377472288
360,2.665506007538192e-07,18.215800923279097,0.010039305387829605,0.041098790345103435,18.26693901901203
380,2.813589674623647e-07,18.21235979976867,0.011057810405651321,0.043852148816385196,18.267269758990707
400,2.9616733417091023e-07,18.2091221397744,0.0120946838159514,0.04629966138375122,18.267516484974106
420,3.1097570087945574e-07,18.205492296942282,0.013136870737180468,0.049160631988876845,18.26778979966834
440,3.257840675880013e-07,18.202111190877254,0.014175376443925332,0.05172444456243042,18.268011011883612
460,3.405924342965468e-07,18.1991675024383,0.015201105301211241,0.05384497936891554,18.268213587108427
480,3.554008010050923e-07,18.195955320841705,0.0161999905291382,0.056201866369463005,18.268357177740306
500,3.7020916771363783e-07,18.1927613907207,0.017178073076218263,0.058608242931138865,18.268547706728057
520,3.8501753442218334e-07,18.19002016029973,0.018112696007367417,0.06056308916856887,18.268695945475667
540,3.9982590113072885e-07,18.18660779344838,0.01902167347999559,0.06316682846750796,18.268796295395884
560,4.1463426783927436e-07,18.183614083705358,0.01993060853022236,0.0654041526278013,18.268948844863385
580,4.2944263454781987e-07,18.181078267682185,0.020800190955290895,0.06730389562565171,18.26918235426313
600,4.442510012563654e-07,18.178236573624257,0.021651923299170983,0.06943955968725862,18.269328056610686
620,4.590593679649109e-07,18.174705612034757,0.022529203237331073,0.07210867582598898,18.269343491098073
