step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
7420,29.2889,21.530621,1,688777.45,0.7488,0
7440,29.3678,21.555588,1,316256.23,0.3438,0
7460,29.4468,21.603301,1,604379.97,0.6570,0
7480,29.5257,21.644083,1,516583.09,0.5616,0
7500,29.6047,21.680423,1,460318.10,0.5004,0
7520,29.6836,21.721205,1,516583.09,0.5616,0
7540,29.7626,21.757545,1,460318.10,0.5004,0
7560,29.8415,21.807480,1,632512.47,0.6876,0
7580,29.9205,21.846041,1,488450.60,0.5310,0
7600,29.9994,21.884602,1,488450.60,0.5310,0
7620,30.0783,21.932315,1,604379.97,0.6570,0
7640,30.1573,21.970876,1,488450.60,0.5310,0
7660,30.2362,22.009437,1,488450.60,0.5310,0
7680,30.3152,22.059371,1,632512.47,0.6876,0
7700,30.3941,22.097933,1,488450.60,0.5310,0
7720,30.4731,22.147867,1,632512.47,0.6876,0
7740,30.5520,22.175055,1,344388.73,0.3744,0
7760,30.6310,22.224989,1,632512.47,0.6876,0
7780,30.7099,22.261329,1,460318.10,0.5004,0
7800,30.7889,22.299890,1,488450.60,0.5310,0
7820,30.8678,22.349824,1,632512.47,0.6876,0
7840,30.9467,22.386165,1,460318.10,0.5004,0
7860,31.0257,22.426947,1,516583.09,0.5616,0
7880,31.1046,22.465508,1,488450.60,0.5310,0
7900,31.1836,22.526815,1,776574.34,0.8442,0
7920,31.2625,22.551782,1,316256.23,0.3438,0
7940,31.3415,22.601716,1,632512.47,0.6876,0
7960,31.4204,22.640277,1,488450.60,0.5310,0
7980,31.4994,22.678839,1,488450.60,0.5310,0
8000,31.5783,22.728773,1,632512.47,0.6876,0
8020,31.6573,22.765113,1,460318.10,0.5004,0
8040,31.7362,22.805895,1,516583.09,0.5616,0
8060,31.8151,22.855829,1,632512.47,0.6876,0
8080,31.8941,22.892169,1,460318.10,0.5004,0
8100,31.9730,22.942104,1,632512.47,0.6876,0
8120,32.0520,22.992038,1,632512.47,0.6876,0
8140,32.1309,23.030599,1,488450.60,0.5310,0
8160,32.2099,23.080533,1,632512.47,0.6876,0
8180,32.2888,23.130467,1,632512.47,0.6876,0
8200,32.3678,23.169028,1,488450.60,0.5310,0
8220,32.4467,23.218963,1,632512.47,0.6876,0
8240,32.5257,23.268897,1,632512.47,0.6876,0
8260,32.6046,23.307458,1,488450.60,0.5310,0
8280,32.6836,23.357392,1,632512.47,0.6876,0
8300,32.7625,23.407326,1,632512.47,0.6876,0
8320,32.8414,23.445887,1,488450.60,0.5310,0
8340,32.9204,23.495822,1,632512.47,0.6876,0
8360,32.9993,23.545756,1,632512.47,0.6876,0
8380,33.0783,23.584317,1,488450.60,0.5310,0
8400,33.1572,23.634251,1,632512.47,0.6876,0
8420,33.2362,23.684185,1,632512.47,0.6876,0
8440,33.3151,23.722746,1,488450.60,0.5310,0
8460,33.3941,23.772680,1,632512.47,0.6876,0
8480,33.4730,23.822615,1,632512.47,0.6876,0
8500,33.5520,23.872549,1,632512.47,0.6876,0
8520,33.6309,23.920262,1,604379.97,0.6570,0
8540,33.7098,23.970196,1,632512.47,0.6876,0
8560,33.7888,24.008757,1,488450.60,0.5310,0
8580,33.8677,24.058692,1,632512.47,0.6876,0
8600,33.9467,24.108626,1,632512.47,0.6876,0
8620,34.0256,24.147187,1,488450.60,0.5310,0
8640,34.1046,24.197121,1,632512.47,0.6876,0
