step,max_d,max_H,Solid solve Time,Compute Strain Time,Driving Force Time,Phase Solve Time,Total Step Time
67,0.40223135,1.331967188e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.226636171
68,0.40512015,1.349410852e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.541636229
69,0.40805081,1.367310693e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.997193813
70,0.41102491,1.385688775e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.249725819
71,0.41404415,1.404568608e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.452065468
72,0.41711034,1.423975850e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.701200008
73,0.42022545,1.443938015e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.016490459
74,0.42339156,1.464484724e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.424108028
75,0.42661089,1.485648060e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.612883091
76,0.42988587,1.507462851e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.938909054
77,0.43321908,1.529966956e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.532783031
78,0.43661339,1.553201741e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.870544434
79,0.44007209,1.577212916e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.324730873
80,0.44359846,1.602049734e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.776320457
81,0.44719610,1.627766406e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.108828306
82,0.45086896,1.654422792e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.547151089
83,0.45462138,1.682084820e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.339343309
84,0.45845798,1.710824881e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.732850552
85,0.46238407,1.740724626e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.398020983
86,0.46640546,1.771875086e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.164906263
87,0.47052867,1.804379084e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.748077393
88,0.47476169,1.838355415e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.655034304
89,0.47911308,1.873937930e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.519223213
90,0.48359242,1.911278828e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.075783730
91,0.48821152,1.950558356e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.076163530
92,0.49298353,1.991984613e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.000952721
93,0.49792310,2.035797656e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.065306425
94,0.50304761,2.082282796e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.299149036
95,0.50837742,2.131779194e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.913647890
96,0.51393708,2.184699751e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.881170988
97,0.51975690,2.241555651e+03,0.000000000,0.000000000,0.000000000,0.000000000,13.668484688
98,0.52587380,2.302981566e+03,0.000000000,0.000000000,0.000000000,0.000000000,13.965456724
99,0.53233413,2.369785053e+03,0.000000000,0.000000000,0.000000000,0.000000000,14.599213123
100,0.53920291,2.443067532e+03,0.000000000,0.000000000,0.000000000,0.000000000,14.520764351
101,0.54656819,2.524334420e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.682132959
102,0.55454651,2.615658060e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.725008249
103,0.56331954,2.720225678e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.780174255
104,0.57316981,2.843115874e+03,0.000000000,0.000000000,0.000000000,0.000000000,14.738934278
105,0.58460158,2.993499951e+03,0.000000000,0.000000000,0.000000000,0.000000000,16.749696016
106,0.59879048,3.192590790e+03,0.000000000,0.000000000,0.000000000,0.000000000,16.882415295
107,0.61988854,3.516831893e+03,0.000000000,0.000000000,0.000000000,0.000000000,17.213338614
108,1.00000000,1.365365070e+06,0.000000000,0.000000000,0.000000000,0.000000000,23.863782644
109,1.00000000,1.370249293e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.491767645
110,1.00000000,1.375188628e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.491260290
111,1.00000000,1.380139458e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.488697767
112,1.00000000,1.385100108e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.485893011
113,1.00000000,1.390069548e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.478543758
114,1.00000000,1.395047807e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.476821661
115,1.00000000,1.400034872e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.483008385
116,1.00000000,1.405030844e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.481697798
117,1.00000000,1.410035407e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.477768183
118,1.00000000,1.415049651e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.483546257
119,1.00000000,1.420073759e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.484252930
120,1.00000000,1.425106746e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.482669353
121,1.00000000,1.430149049e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.473435640
122,1.00000000,1.435196605e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.471925497
123,1.00000000,1.440250267e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.473294973
124,1.00000000,1.445312380e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.470907688
125,1.00000000,1.450382500e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.484253883
126,1.00000000,1.455461127e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.482344866
127,1.00000000,1.460547712e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.477577686
128,1.00000000,1.465642085e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.476028681
129,1.00000000,1.470746510e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.481552601
130,1.00000000,1.475860346e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.477743626
131,1.00000000,1.480982710e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.481413364
132,1.00000000,1.486113582e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.478360891
133,1.00000000,1.491252916e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.487288475
134,1.00000000,1.496400755e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.450472593
135,1.00000000,1.501557156e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.450522900
136,1.00000000,1.506721945e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.451505184
137,1.00000000,1.511895352e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.447436571
138,1.00000000,1.517077394e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.447663307
139,1.00000000,1.522267914e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.444575787
140,1.00000000,1.527466932e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.441491127
141,1.00000000,1.532674569e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.440620184
142,1.00000000,1.537890639e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.441480637
143,1.00000000,1.543115358e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.450013399
144,1.00000000,1.548348745e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.450472593
145,1.00000000,1.553590845e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.446440220
146,1.00000000,1.558841723e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.443969965
147,1.00000000,1.564100757e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.441726446
148,1.00000000,1.569365417e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.442403555
149,1.00000000,1.574638381e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.451608658
150,1.00000000,1.579919957e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.449187279
151,1.00000000,1.585197549e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.457479239
152,1.00000000,1.590479846e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.454467535
153,1.00000000,1.595770209e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.455578804
154,1.00000000,1.601068959e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.455528498
155,1.00000000,1.606376118e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.452878237
156,1.00000000,1.611691691e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.452839851
157,1.00000000,1.617015645e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.460956573
158,1.00000000,1.622347983e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.425423622
159,1.00000000,1.627688734e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.426318884
160,1.00000000,1.633037898e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.422869444
161,1.00000000,1.638395476e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.426153660
162,1.00000000,1.643761467e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.424210072
163,1.00000000,1.649135869e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.416382313
164,1.00000000,1.654518684e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.417981625
165,1.00000000,1.659909835e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.421989679
166,1.00000000,1.665309317e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.422455549
167,1.00000000,1.670717193e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.423086405
168,1.00000000,1.676133477e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.423061848
169,1.00000000,1.681558168e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.423515081
170,1.00000000,1.686991266e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.419615984
171,1.00000000,1.692432789e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.421059608
172,1.00000000,1.697882735e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420958519
173,1.00000000,1.703341088e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.426723480
174,1.00000000,1.708807847e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.424529076
175,1.00000000,1.714283010e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.417415142
176,1.00000000,1.719766579e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.416399717
177,1.00000000,1.725258552e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420555592
178,1.00000000,1.730758928e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.419721603
179,1.00000000,1.736267707e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.423471451
180,1.00000000,1.741784884e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420987606
181,1.00000000,1.747320667e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.415339947
182,1.00000000,1.752855731e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.417073011
183,1.00000000,1.758399786e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.414223194
184,1.00000000,1.763949233e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.414704561
185,1.00000000,1.769507425e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420631409
186,1.00000000,1.775074175e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.419552565
187,1.00000000,1.780649685e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.417534590
188,1.00000000,1.786233801e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.413273573
