step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage,reaction_force,applied_disp
79,1577.2129,2156.8456,0.440072,0.0000,0.000000,-670.273072,0.00530000
80,1602.0497,2191.4656,0.443598,0.0000,0.000000,-671.235281,0.00531000
81,1627.7664,2227.3280,0.447196,0.0000,0.000000,-672.193614,0.00532000
82,1654.4228,2264.5175,0.450869,0.0000,0.000000,-673.147915,0.00533000
83,1682.0848,2303.1278,0.454621,0.0000,0.000000,-674.098016,0.00534000
84,1710.8249,2343.2619,0.458458,0.0000,0.000000,-675.043731,0.00535000
85,1740.7246,2385.0359,0.462384,0.0000,0.000000,-675.984848,0.00536000
86,1771.8751,2428.5793,0.466405,0.0000,0.000000,-676.921145,0.00537000
87,1804.3791,2474.0382,0.470529,0.0000,0.000000,-677.852370,0.00538000
88,1838.3554,2521.5805,0.474762,0.0000,0.000000,-678.778193,0.00539000
89,1873.9379,2571.3965,0.479113,0.0000,0.000000,-679.698270,0.00540000
90,1911.2788,2623.7027,0.483592,0.0000,0.000000,-680.612226,0.00541000
91,1950.5584,2678.7592,0.488212,0.0000,0.000000,-681.519586,0.00542000
92,1991.9846,2736.8618,0.492984,0.0000,0.000000,-682.419839,0.00543000
93,2035.7977,2798.3537,0.497923,0.0000,0.000000,-683.312412,0.00544000
94,2082.2828,2863.6434,0.503048,0.0000,0.000000,-684.196614,0.00545000
95,2131.7792,2933.2131,0.508377,0.0000,0.000000,-685.071618,0.00546000
96,2184.6998,3007.6502,0.513937,0.0000,0.000000,-685.936459,0.00547000
97,2241.5557,3087.6849,0.519757,0.0000,0.000000,-686.789928,0.00548000
98,2302.9816,3174.2242,0.525874,0.0000,0.000000,-687.630566,0.00549000
99,2369.7851,3268.4201,0.532334,0.0000,0.000000,-688.456522,0.00550000
100,2443.0675,3371.8456,0.539203,0.0000,0.000000,-689.265196,0.00551000
101,2524.3344,3486.6722,0.546568,0.0000,0.000000,-690.052995,0.00552000
102,2615.6581,3615.8774,0.554547,0.0000,0.000000,-690.815320,0.00553000
103,2720.2257,3764.0117,0.563320,0.0000,0.000000,-691.544809,0.00554000
104,2843.1159,3938.3495,0.573170,0.0000,0.000000,-692.230225,0.00555000
105,2993.5000,4152.0257,0.584602,0.0000,0.000000,-692.851431,0.00556000
106,3192.5908,4435.4925,0.598790,0.0000,0.000000,-693.360904,0.00557000
107,3516.8319,4898.6102,0.619889,0.0000,0.000000,-693.589721,0.00558000
108,1365365.0701,3258021.1093,1.000000,0.0000,0.000000,-0.388173,0.00559000
109,1370249.2927,3269805.6632,1.000000,0.0000,0.000000,-0.387124,0.00560000
110,1375188.6282,3281618.2647,1.000000,0.0000,0.000000,-0.385989,0.00561000
111,1380139.4580,3293460.7546,1.000000,0.0000,0.000000,-0.384789,0.00562000
112,1385100.1085,3305327.0194,1.000000,0.0000,0.000000,-0.383561,0.00563000
113,1390069.5481,3317214.5818,1.000000,0.0000,0.000000,-0.382306,0.00564000
114,1395047.8071,3329123.4466,1.000000,0.0000,0.000000,-0.381031,0.00565000
115,1400034.8721,3341053.5744,1.000000,0.0000,0.000000,-0.379743,0.00566000
116,1405030.8437,3353005.1008,1.000000,0.0000,0.000000,-0.378441,0.00567000
117,1410035.4070,3364977.6015,1.000000,0.0000,0.000000,-0.377125,0.00568000
118,1415049.6512,3376972.5573,1.000000,0.0000,0.000000,-0.375791,0.00569000
119,1420073.7588,3388990.3166,1.000000,0.0000,0.000000,-0.374427,0.00570000
120,1425106.7460,3401029.5050,1.000000,0.0000,0.000000,-0.373031,0.00571000
121,1430149.0489,3413090.6605,1.000000,0.0000,0.000000,-0.371637,0.00572000
122,1435196.6046,3425165.4475,1.000000,0.0000,0.000000,-0.370221,0.00573000
123,1440250.2666,3437256.3131,1.000000,0.0000,0.000000,-0.368791,0.00574000
124,1445312.3804,3449367.8670,1.000000,0.0000,0.000000,-0.367363,0.00575000
125,1450382.5004,3461499.5013,1.000000,0.0000,0.000000,-0.365932,0.00576000
126,1455461.1271,3473651.8873,1.000000,0.0000,0.000000,-0.364508,0.00577000
127,1460547.7122,3485824.2776,1.000000,0.0000,0.000000,-0.363084,0.00578000
128,1465642.0850,3498016.5085,1.000000,0.0000,0.000000,-0.361648,0.00579000
129,1470746.5104,3510236.2741,1.000000,0.0000,0.000000,-0.360202,0.00580000
130,1475860.3458,3522481.5647,1.000000,0.0000,0.000000,-0.358761,0.00581000
131,1480982.7102,3534747.5531,1.000000,0.0000,0.000000,-0.357327,0.00582000
132,1486113.5821,3547034.2160,1.000000,0.0000,0.000000,-0.355887,0.00583000
133,1491252.9157,3559341.5312,1.000000,0.0000,0.000000,-0.354449,0.00584000
134,1496400.7552,3571669.5225,1.000000,0.0000,0.000000,-0.353020,0.00585000
135,1501557.1561,3584018.2885,1.000000,0.0000,0.000000,-0.351598,0.00586000
136,1506721.9448,3596387.6284,1.000000,0.0000,0.000000,-0.350177,0.00587000
137,1511895.3522,3608777.8086,1.000000,0.0000,0.000000,-0.348766,0.00588000
