step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage,reaction_force,applied_disp
327,2644003.3680,6328924.4564,1.000000,0.0000,0.000000,-0.188234,0.00778000
328,2650760.4656,6345191.7351,1.000000,0.0000,0.000000,-0.187780,0.00779000
329,2657525.9461,6361479.4633,1.000000,0.0000,0.000000,-0.187328,0.00780000
330,2664299.7905,6377787.6392,1.000000,0.0000,0.000000,-0.186879,0.00781000
331,2671081.9977,6394116.2631,1.000000,0.0000,0.000000,-0.186433,0.00782000
332,2677872.5676,6410465.3353,1.000000,0.0000,0.000000,-0.185989,0.00783000
333,2684671.5001,6426834.8555,1.000000,0.0000,0.000000,-0.185547,0.00784000
334,2691478.7950,6443224.8239,1.000000,0.0000,0.000000,-0.185108,0.00785000
335,2698294.4520,6459635.2406,1.000000,0.0000,0.000000,-0.184672,0.00786000
336,2705118.4710,6476066.1057,1.000000,0.0000,0.000000,-0.184238,0.00787000
337,2711950.8518,6492517.4193,1.000000,0.0000,0.000000,-0.183806,0.00788000
338,2718791.5943,6508989.1815,1.000000,0.0000,0.000000,-0.183377,0.00789000
339,2725640.6984,6525481.3890,1.000000,0.0000,0.000000,-0.182950,0.00790000
340,2732498.1624,6541994.0487,1.000000,0.0000,0.000000,-0.182525,0.00791000
341,2739363.9890,6558527.1577,1.000000,0.0000,0.000000,-0.182103,0.00792000
342,2746238.1768,6575080.7160,1.000000,0.0000,0.000000,-0.181684,0.00793000
343,2753120.7256,6591654.7236,1.000000,0.0000,0.000000,-0.181266,0.00794000
344,2760011.6353,6608249.1808,1.000000,0.0000,0.000000,-0.180851,0.00795000
345,2766910.9057,6624864.0878,1.000000,0.0000,0.000000,-0.180438,0.00796000
346,2773818.5366,6641499.4446,1.000000,0.0000,0.000000,-0.180028,0.00797000
347,2780734.5281,6658155.2515,1.000000,0.0000,0.000000,-0.179620,0.00798000
348,2787658.8798,6674831.5317,1.000000,0.0000,0.000000,-0.179214,0.00799000
349,2794591.5964,6691528.2171,1.000000,0.0000,0.000000,-0.178810,0.00800000
