step,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
100,0.00551000,0.689265,0.53920291,2443.0675,451,14520.8
101,0.00552000,0.690053,0.54656819,2524.3344,320,10682.1
102,0.00553000,0.690815,0.55454651,2615.6581,351,11725.0
103,0.00554000,0.691545,0.56331954,2720.2257,389,12780.2
104,0.00555000,0.692230,0.57316981,2843.1159,448,14738.9
105,0.00556000,0.692851,0.58460158,2993.5000,500,16749.7
106,0.00557000,0.693361,0.59879048,3192.5908,500,16882.4
107,0.00558000,0.693590,0.61988854,3516.8319,500,17213.3
108,0.00559000,0.000388,1.00000000,1365365.0701,500,23863.8
109,0.00560000,0.000387,1.00000000,1370249.2927,14,491.8
110,0.00561000,0.000386,1.00000000,1375188.6282,14,491.3
111,0.00562000,0.000385,1.00000000,1380139.4580,14,488.7
112,0.00563000,0.000384,1.00000000,1385100.1085,14,485.9
113,0.00564000,0.000382,1.00000000,1390069.5481,14,478.5
114,0.00565000,0.000381,1.00000000,1395047.8071,14,476.8
115,0.00566000,0.000380,1.00000000,1400034.8721,14,483.0
116,0.00567000,0.000378,1.00000000,1405030.8437,14,481.7
117,0.00568000,0.000377,1.00000000,1410035.4070,14,477.8
118,0.00569000,0.000376,1.00000000,1415049.6512,14,483.5
119,0.00570000,0.000374,1.00000000,1420073.7588,14,484.3
120,0.00571000,0.000373,1.00000000,1425106.7460,14,482.7
121,0.00572000,0.000372,1.00000000,1430149.0489,14,473.4
122,0.00573000,0.000370,1.00000000,1435196.6046,14,471.9
123,0.00574000,0.000369,1.00000000,1440250.2666,14,473.3
124,0.00575000,0.000367,1.00000000,1445312.3804,14,470.9
125,0.00576000,0.000366,1.00000000,1450382.5004,14,484.3
126,0.00577000,0.000365,1.00000000,1455461.1271,14,482.3
127,0.00578000,0.000363,1.00000000,1460547.7122,14,477.6
128,0.00579000,0.000362,1.00000000,1465642.0850,14,476.0
129,0.00580000,0.000360,1.00000000,1470746.5104,14,481.6
130,0.00581000,0.000359,1.00000000,1475860.3458,14,477.7
131,0.00582000,0.000357,1.00000000,1480982.7102,14,481.4
132,0.00583000,0.000356,1.00000000,1486113.5821,14,478.4
133,0.00584000,0.000354,1.00000000,1491252.9157,14,487.3
134,0.00585000,0.000353,1.00000000,1496400.7552,13,450.5
135,0.00586000,0.000352,1.00000000,1501557.1561,13,450.5
136,0.00587000,0.000350,1.00000000,1506721.9448,13,451.5
137,0.00588000,0.000349,1.00000000,1511895.3522,13,447.4
138,0.00589000,0.000347,1.00000000,1517077.3944,13,447.7
139,0.00590000,0.000346,1.00000000,1522267.9144,13,444.6
140,0.00591000,0.000345,1.00000000,1527466.9317,13,441.5
141,0.00592000,0.000343,1.00000000,1532674.5687,13,440.6
142,0.00593000,0.000342,1.00000000,1537890.6391,13,441.5
143,0.00594000,0.000340,1.00000000,1543115.3580,13,450.0
144,0.00595000,0.000339,1.00000000,1548348.7449,13,450.5
145,0.00596000,0.000338,1.00000000,1553590.8445,13,446.4
146,0.00597000,0.000336,1.00000000,1558841.7227,13,444.0
147,0.00598000,0.000335,1.00000000,1564100.7566,13,441.7
148,0.00599000,0.000334,1.00000000,1569365.4168,13,442.4
149,0.00600000,0.000332,1.00000000,1574638.3812,13,451.6
150,0.00601000,0.000331,1.00000000,1579919.9568,13,449.2
151,0.00602000,0.000330,1.00000000,1585197.5493,14,457.5
152,0.00603000,0.000329,1.00000000,1590479.8460,14,454.5
153,0.00604000,0.000327,1.00000000,1595770.2086,14,455.6
154,0.00605000,0.000326,1.00000000,1601068.9591,14,455.5
155,0.00606000,0.000325,1.00000000,1606376.1182,14,452.9
156,0.00607000,0.000323,1.00000000,1611691.6913,14,452.8
157,0.00608000,0.000322,1.00000000,1617015.6449,14,461.0
158,0.00609000,0.000321,1.00000000,1622347.9830,13,425.4
159,0.00610000,0.000319,1.00000000,1627688.7339,13,426.3
160,0.00611000,0.000318,1.00000000,1633037.8982,13,422.9
161,0.00612000,0.000317,1.00000000,1638395.4760,13,426.2
162,0.00613000,0.000316,1.00000000,1643761.4666,13,424.2
163,0.00614000,0.000314,1.00000000,1649135.8694,13,416.4
164,0.00615000,0.000313,1.00000000,1654518.6839,13,418.0
165,0.00616000,0.000312,1.00000000,1659909.8352,13,422.0
166,0.00617000,0.000311,1.00000000,1665309.3172,13,422.5
167,0.00618000,0.000310,1.00000000,1670717.1934,13,423.1
168,0.00619000,0.000308,1.00000000,1676133.4768,13,423.1
169,0.00620000,0.000307,1.00000000,1681558.1679,13,423.5
170,0.00621000,0.000306,1.00000000,1686991.2663,13,419.6
171,0.00622000,0.000305,1.00000000,1692432.7889,13,421.1
172,0.00623000,0.000304,1.00000000,1697882.7347,13,421.0
173,0.00624000,0.000303,1.00000000,1703341.0879,13,426.7
174,0.00625000,0.000301,1.00000000,1708807.8466,13,424.5
175,0.00626000,0.000300,1.00000000,1714283.0105,13,417.4
176,0.00627000,0.000299,1.00000000,1719766.5789,13,416.4
177,0.00628000,0.000298,1.00000000,1725258.5515,13,420.6
178,0.00629000,0.000297,1.00000000,1730758.9278,13,419.7
179,0.00630000,0.000296,1.00000000,1736267.7074,13,423.5
180,0.00631000,0.000295,1.00000000,1741784.8838,13,421.0
181,0.00632000,0.000293,1.00000000,1747320.6671,13,415.3
182,0.00633000,0.000292,1.00000000,1752855.7314,15,417.1
