case,solver,steps,mean_ms,median_ms,p05_ms,p95_ms,min_ms,max_ms,total_s,speedup_vs_phast_median
sent,Akantu,3000,48.28719364496643,49.42643750109705,30.70380832941728,50.92277327203189,27.396458026487302,76.8051669583655,144.86158093489928,7.567421197547973
sent,FEniCS,3000,45.71635552866653,45.5489994999993,44.161910749997425,47.37218780000628,42.704791999994896,91.339958,137.1490665859996,6.973767112706558
sent,PhAST,3000,7.6238238769999995,6.531477000000001,5.85103,11.779033699999998,4.768133,31.011105,22.871471631,1.0
kalthoff,Akantu,11775,207.88191996150968,203.0493749771267,197.2122911654878,237.1474043058696,122.0803330070339,505.8827910106629,2447.8096075467765,10.050993416770943
kalthoff,FEniCS,11775,228.55019123125186,224.7147919999861,212.99102079985906,254.00183770016156,208.8141249998898,832.0694999999887,2691.1785017479906,11.123436825635842
kalthoff,PhAST,11775,24.279896014097663,20.201921000000002,18.3465243,35.0883482,15.030146,1521.37804,285.895775566,1.0
