step,time,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
61,1.107142857e-01,0.22142857,0.04075156,1.00000000,2.018460964e+04,3,48949.243
62,1.125000000e-01,0.22500000,0.04135642,1.00000000,2.084461213e+04,3,48719.840
63,1.142857143e-01,0.22857143,0.04196442,1.00000000,2.151496405e+04,2,32368.540
64,1.160714286e-01,0.23214286,0.04257210,1.00000000,2.219583791e+04,2,32543.747
65,1.178571429e-01,0.23571429,0.04318027,1.00000000,2.288717809e+04,2,32651.381
66,1.196428571e-01,0.23928571,0.04379076,1.00000000,2.358891140e+04,2,32920.359
67,1.214285714e-01,0.24285714,0.04440088,1.00000000,2.430113538e+04,2,32618.255
68,1.232142857e-01,0.24642857,0.04501249,1.00000000,2.502378576e+04,2,32505.854
69,1.250000000e-01,0.25000000,0.04562484,1.00000000,2.575688759e+04,2,32569.574
70,1.267857143e-01,0.25357143,0.04623782,1.00000000,2.650044355e+04,2,32540.606
71,1.285714286e-01,0.25714286,0.04685133,1.00000000,2.725445436e+04,2,32677.922
72,1.303571429e-01,0.26071429,0.04746531,1.00000000,2.801892259e+04,2,32691.464
73,1.321428571e-01,0.26428571,0.04807967,1.00000000,2.879384980e+04,2,32624.525
74,1.339285714e-01,0.26785714,0.04869433,1.00000000,2.957923740e+04,2,32505.539
75,1.357142857e-01,0.27142857,0.04930924,1.00000000,3.037508706e+04,2,32633.997
76,1.375000000e-01,0.27500000,0.04992434,1.00000000,3.118139939e+04,2,32134.651
77,1.392857143e-01,0.27857143,0.05053956,1.00000000,3.199817455e+04,2,31562.795
78,1.410714286e-01,0.28214286,0.05115487,1.00000000,3.282541465e+04,2,30484.901
79,1.428571429e-01,0.28571429,0.05177095,1.00000000,3.366311403e+04,2,30125.390
80,1.446428571e-01,0.28928571,0.05238554,1.00000000,3.451129196e+04,2,30250.089
81,1.464285714e-01,0.29285714,0.05300154,1.00000000,3.536992582e+04,2,30148.785
82,1.482142857e-01,0.29642857,0.05361671,1.00000000,3.623903179e+04,2,29649.305
83,1.500000000e-01,0.30000000,0.05423173,1.00000000,3.711860629e+04,2,30041.027
84,1.517857143e-01,0.30357143,0.05484658,1.00000000,3.800864792e+04,2,29314.271
85,1.535714286e-01,0.30714286,0.05546122,1.00000000,3.890915839e+04,2,28758.752
86,1.553571429e-01,0.31071429,0.05607562,1.00000000,3.982013653e+04,2,27671.175
87,1.571428571e-01,0.31428571,0.05668975,1.00000000,4.074158312e+04,2,28713.995
88,1.589285714e-01,0.31785714,0.05730357,1.00000000,4.167349737e+04,2,29115.780
89,1.607142857e-01,0.32142857,0.05791707,1.00000000,4.261588123e+04,2,28933.578
90,1.625000000e-01,0.32500000,0.05853021,1.00000000,4.356873206e+04,2,28146.320
91,1.642857143e-01,0.32857143,0.05914298,1.00000000,4.453205265e+04,2,28158.282
92,1.660714286e-01,0.33214286,0.05975535,1.00000000,4.550583999e+04,2,29844.913
93,1.678571429e-01,0.33571429,0.06036729,1.00000000,4.649009673e+04,2,30457.805
94,1.696428571e-01,0.33928571,0.06097878,1.00000000,4.748481987e+04,2,31264.979
95,1.714285714e-01,0.34285714,0.06158981,1.00000000,4.849001160e+04,2,31520.964
96,1.732142857e-01,0.34642857,0.06220034,1.00000000,4.950566941e+04,2,32004.052
97,1.750000000e-01,0.35000000,0.06281037,1.00000000,5.053179499e+04,2,32028.076
98,1.767857143e-01,0.35357143,0.06341987,1.00000000,5.156838625e+04,2,30431.153
99,1.785714286e-01,0.35714286,0.06402884,1.00000000,5.261544426e+04,2,26875.166
100,1.803571429e-01,0.36071429,0.06463723,1.00000000,5.367296727e+04,2,28667.794
101,1.821428571e-01,0.36428571,0.06524505,1.00000000,5.474095545e+04,2,31255.098
102,1.839285714e-01,0.36785714,0.06585227,1.00000000,5.581941442e+04,2,32304.862
103,1.857142857e-01,0.37142857,0.06645888,1.00000000,5.690837067e+04,2,32451.258
104,1.875000000e-01,0.37500000,0.06706486,1.00000000,5.800780402e+04,2,32357.336
105,1.892857143e-01,0.37857143,0.06767020,1.00000000,5.911769846e+04,2,32564.772
106,1.910714286e-01,0.38214286,0.06827489,1.00000000,6.023805433e+04,2,31642.527
107,1.928571429e-01,0.38571429,0.06887890,1.00000000,6.136887054e+04,2,31352.325
108,1.946428571e-01,0.38928571,0.06948223,1.00000000,6.251014676e+04,2,31357.838
109,1.964285714e-01,0.39285714,0.07008485,1.00000000,6.366188224e+04,2,31065.446
110,1.982142857e-01,0.39642857,0.07068677,1.00000000,6.482407552e+04,2,30832.860
111,2.000000000e-01,0.40000000,0.07128796,1.00000000,6.599672688e+04,2,30657.018
112,2.017857143e-01,0.40357143,0.07188840,1.00000000,6.717983417e+04,2,30438.231
113,2.035714286e-01,0.40714286,0.07248810,1.00000000,6.837339694e+04,2,30642.013
114,2.053571429e-01,0.41071429,0.07308703,1.00000000,6.957741447e+04,2,29945.818
115,2.071428571e-01,0.41428571,0.07368519,1.00000000,7.079188561e+04,2,29059.280
116,2.089285714e-01,0.41785714,0.07428256,1.00000000,7.201680881e+04,2,28833.821
117,2.107142857e-01,0.42142857,0.07487912,1.00000000,7.325218340e+04,2,28520.169
118,2.125000000e-01,0.42500000,0.07547487,1.00000000,7.449800864e+04,2,27819.580
119,2.142857143e-01,0.42857143,0.07606980,1.00000000,7.575428239e+04,2,25546.359
120,2.160714286e-01,0.43214286,0.07666389,1.00000000,7.702100545e+04,2,28085.342
121,2.178571429e-01,0.43571429,0.07725713,1.00000000,7.829817457e+04,2,28685.085
122,2.196428571e-01,0.43928571,0.07784952,1.00000000,7.958578973e+04,2,28922.652
123,2.214285714e-01,0.44285714,0.07844103,1.00000000,8.088384965e+04,2,28945.725
124,2.232142857e-01,0.44642857,0.07903167,1.00000000,8.219235354e+04,2,28844.422
125,2.250000000e-01,0.45000000,0.07962141,1.00000000,8.351129895e+04,2,28927.463
126,2.267857143e-01,0.45357143,0.08021025,1.00000000,8.484068522e+04,2,28947.876
127,2.285714286e-01,0.45714286,0.08079817,1.00000000,8.618051158e+04,2,28641.491
128,2.303571429e-01,0.46071429,0.08138517,1.00000000,8.753077591e+04,2,28394.484
129,2.321428571e-01,0.46428571,0.08197123,1.00000000,8.889147615e+04,2,28867.795
130,2.339285714e-01,0.46785714,0.08255635,1.00000000,9.026261154e+04,2,29074.471
131,2.357142857e-01,0.47142857,0.08314051,1.00000000,9.164418096e+04,2,29200.737
132,2.375000000e-01,0.47500000,0.08372370,1.00000000,9.303618236e+04,2,29378.755
133,2.392857143e-01,0.47857143,0.08430591,1.00000000,9.443861383e+04,2,29259.661
134,2.410714286e-01,0.48214286,0.08488715,1.00000000,9.585153362e+04,2,28598.247
135,2.428571429e-01,0.48571429,0.08546738,1.00000000,9.727482398e+04,2,28228.014
136,2.446428571e-01,0.48928571,0.08604660,1.00000000,9.870853899e+04,2,27799.515
137,2.464285714e-01,0.49285714,0.08662480,1.00000000,1.001526786e+05,2,28475.899
138,2.482142857e-01,0.49642857,0.08720198,1.00000000,1.016072406e+05,2,28202.763
139,2.500000000e-01,0.50000000,0.08777811,1.00000000,1.030722240e+05,2,28067.069
140,2.625000000e-01,0.52500000,0.09177559,1.00000000,1.136338304e+05,4,60872.770
141,2.750000000e-01,0.55000000,0.09572262,1.00000000,1.246935167e+05,4,62206.630
142,2.875000000e-01,0.57500000,0.09961111,1.00000000,1.362626424e+05,4,60886.815
143,3.000000000e-01,0.60000000,0.10343748,1.00000000,1.483405619e+05,4,60844.308
144,3.125000000e-01,0.62500000,0.10719436,1.00000000,1.609264831e+05,5,75279.858
145,3.250000000e-01,0.65000000,0.11088327,1.00000000,1.740193625e+05,5,75361.010
146,3.375000000e-01,0.67500000,0.11449914,1.00000000,1.876190222e+05,5,81194.124
147,3.500000000e-01,0.70000000,0.11803282,1.00000000,2.017232292e+05,6,97106.995
148,3.625000000e-01,0.72500000,0.12148531,1.00000000,2.163309971e+05,6,92963.297
149,3.750000000e-01,0.75000000,0.12484391,1.00000000,2.314412650e+05,7,109057.128
