step,time,elastic,fracture,kinetic,external,total
56,1.017857143e-01,7.685081904e+00,1.049364484e+02,0.000000000e+00,0.000000000e+00,1.126215303e+02
57,1.035714286e-01,7.943308489e+00,1.049555500e+02,0.000000000e+00,0.000000000e+00,1.128988584e+02
58,1.053571429e-01,8.206021760e+00,1.049743239e+02,0.000000000e+00,0.000000000e+00,1.131803457e+02
59,1.071428571e-01,8.473491255e+00,1.049923410e+02,0.000000000e+00,0.000000000e+00,1.134658323e+02
60,1.089285714e-01,8.745691821e+00,1.050096601e+02,0.000000000e+00,0.000000000e+00,1.137553519e+02
61,1.107142857e-01,9.022598106e+00,1.050263370e+02,0.000000000e+00,0.000000000e+00,1.140489351e+02
62,1.125000000e-01,9.304185427e+00,1.050424244e+02,0.000000000e+00,0.000000000e+00,1.143466098e+02
63,1.142857143e-01,9.590462385e+00,1.050579311e+02,0.000000000e+00,0.000000000e+00,1.146483935e+02
64,1.160714286e-01,9.881345567e+00,1.050729791e+02,0.000000000e+00,0.000000000e+00,1.149543247e+02
65,1.178571429e-01,1.017680515e+01,1.050876267e+02,0.000000000e+00,0.000000000e+00,1.152644319e+02
66,1.196428571e-01,1.047692588e+01,1.051017596e+02,0.000000000e+00,0.000000000e+00,1.155786855e+02
67,1.214285714e-01,1.078156326e+01,1.051156042e+02,0.000000000e+00,0.000000000e+00,1.158971674e+02
68,1.232142857e-01,1.109079762e+01,1.051290478e+02,0.000000000e+00,0.000000000e+00,1.162198454e+02
69,1.250000000e-01,1.140458013e+01,1.051421695e+02,0.000000000e+00,0.000000000e+00,1.165467496e+02
70,1.267857143e-01,1.172289388e+01,1.051549991e+02,0.000000000e+00,0.000000000e+00,1.168778930e+02
71,1.285714286e-01,1.204572020e+01,1.051675670e+02,0.000000000e+00,0.000000000e+00,1.172132872e+02
72,1.303571429e-01,1.237304494e+01,1.051798977e+02,0.000000000e+00,0.000000000e+00,1.175529427e+02
73,1.321428571e-01,1.270485171e+01,1.051920172e+02,0.000000000e+00,0.000000000e+00,1.178968689e+02
74,1.339285714e-01,1.304112598e+01,1.052039484e+02,0.000000000e+00,0.000000000e+00,1.182450744e+02
75,1.357142857e-01,1.338177499e+01,1.052159593e+02,0.000000000e+00,0.000000000e+00,1.185977343e+02
76,1.375000000e-01,1.372694350e+01,1.052275739e+02,0.000000000e+00,0.000000000e+00,1.189545174e+02
77,1.392857143e-01,1.407653798e+01,1.052390620e+02,0.000000000e+00,0.000000000e+00,1.193155999e+02
78,1.410714286e-01,1.443054592e+01,1.052504417e+02,0.000000000e+00,0.000000000e+00,1.196809876e+02
79,1.428571429e-01,1.478897387e+01,1.052617035e+02,0.000000000e+00,0.000000000e+00,1.200506774e+02
80,1.446428571e-01,1.515174785e+01,1.052729497e+02,0.000000000e+00,0.000000000e+00,1.204246976e+02
