step,converged,newton_iterations,residual_norm
0,True,0,0.0
1,True,4,2.928991175568387e-14
2,True,4,1.243213093426542e-10
3,True,4,2.433667068555434e-13
4,True,4,2.8819983213047997e-13
5,True,4,1.77967233612911e-13
6,True,4,4.2014542468586884e-13
7,True,4,3.4290769391168234e-13
8,True,4,5.689901269447916e-13
9,True,4,5.964016278723954e-13
10,True,4,5.910644895016096e-13
