step,t_s,elastic,kinetic,fracture,total
0,0.0,-1.8962580538290844e-10,0.0,9.481278680932831e-11,-9.481301857358013e-11
20,3.270564847888696e-07,0.0007700394899588256,0.00011541554788370278,1.2159070768710384e-06,0.0008866709449193994
40,6.541129695777392e-07,0.002040532079629359,0.001029713850273331,6.371608354380513e-06,0.0030766175382570702
60,9.811694543666087e-07,0.0032305398890467535,0.002432928371335982,1.2733673809856559e-05,0.005676201934192593
80,1.3082259391554784e-06,0.004454776730348477,0.0036882694334605674,2.1574867764653046e-05,0.008164621031573697
100,1.635282423944348e-06,0.005663025720023628,0.004846215441001633,2.9019036092109303e-05,0.010538260197117372
120,1.9623389087332175e-06,0.006864403080116678,0.006030721862115551,3.83064433406741e-05,0.012933431385572902
140,2.289395393522087e-06,0.008084142658382353,0.0072492967727294175,4.8204393360798566e-05,0.015381643824472569
160,2.616451878310957e-06,0.009282023408407378,0.008509726465801727,5.7003146600453385e-05,0.017848753020809557
180,2.9435083630998264e-06,0.010500028395644815,0.0097271616816401,6.732446456664082e-05,0.020294514541851553
200,3.270564847888696e-06,0.01170243048727048,0.010913370813816419,7.808242879539943e-05,0.0226938837298823
220,3.5976213326775658e-06,0.012916426359004935,0.012076520833074474,8.729463134362334e-05,0.025080241823423034
240,3.924677817466435e-06,0.014120111241548905,0.013297623415458083,9.814931467374539e-05,0.027515883971680734
260,4.251734302255305e-06,0.015325025223605546,0.01455206950675329,0.00010927616179846932,0.029986370892157305
280,4.578790787044174e-06,0.016520923366870978,0.015776596228413868,0.00011855639542877311,0.03241607599071362
300,4.905847271833044e-06,0.017722006548912157,0.01695141649042616,0.00012960842432240094,0.03480303146366072
320,5.232903756621914e-06,0.018946039750639285,0.018132792860839377,0.0001417279440542061,0.03722056055553287
340,5.559960241410783e-06,0.020214698067541115,0.019307602120210023,0.00015610878973017615,0.039678408977481316
360,5.887016726199653e-06,0.021508114911791318,0.020413978188583738,0.00019007274353055245,0.042112165843905605
380,6.2140732109885225e-06,0.02281395451720342,0.021453836167465108,0.0002466161708324245,0.044514406855500954
400,6.541129695777392e-06,0.024210076160092332,0.022439919900645245,0.0002904085529824792,0.04694040461372006
420,6.868186180566262e-06,0.025675453806584807,0.023371587315514253,0.00034201362902877493,0.049389054751127835
440,7.1952426653551315e-06,0.027196360697345906,0.02420267121693261,0.0004122471221685515,0.05181127903644706
460,7.522299150144001e-06,0.02877496253164149,0.02496783967175588,0.0004727807018297028,0.05421558290522707
480,7.84935563493287e-06,0.030423034360570884,0.025684822525688922,0.0005387248344048098,0.05664658172066461
500,8.17641211972174e-06,0.03211001155891746,0.02634981388512825,0.0006275148139071739,0.05908734025795288
520,8.50346860451061e-06,0.03388293918300791,0.02690854278718615,0.0006986373238660642,0.06149011929406012
540,8.83052508929948e-06,0.03568483932836537,0.0274131716108075,0.000776880701350973,0.06387489164052385
560,9.157581574088349e-06,0.03757926050878665,0.02785020640956951,0.0008572374171314878,0.06628670433548765
580,9.484638058877219e-06,0.03953854368291479,0.02823668049432643,0.0009313279276318593,0.06870655210487307
600,9.811694543666088e-06,0.041553908693249285,0.02852309389528164,0.0010248253178348626,0.07110182790636578
620,1.0138751028454958e-05,0.04367681004019046,0.02868314289005525,0.0011429028609506917,0.07350285579119639
640,1.0465807513243827e-05,0.046040909418186525,0.028654522269140652,0.0012428656032638847,0.07593829729059105
660,1.0792863998032696e-05,0.04873643826168568,0.028258975914970456,0.0013673740847550313,0.07836278826141116
680,1.1119920482821566e-05,0.05188084411049792,0.027332674595975152,0.0015126812308020778,0.08072619993727514
700,1.1446976967610435e-05,0.05532532691549999,0.0260686841082266,0.0016610260009589698,0.08305503702468556
720,1.1774033452399306e-05,0.058672119941422435,0.024874558139521642,0.0018609428649863581,0.08540762094593043
