step,t_s,elastic,kinetic,fracture,total
0,0.0,27.803544027704564,3.4691962537568283e-23,0.013647737372587766,27.81719176507715
20,4.0386882368534505e-08,27.793963520088955,0.003397298782123774,0.01901827818756375,27.81637909705864
40,8.077376473706901e-08,27.777141528899058,0.010622659367509437,0.028546970680997933,27.816311158947567
60,1.2116064710560351e-07,27.753418019251466,0.019686963633555283,0.043802284361320803,27.816907267246343
80,1.6154752947413802e-07,27.7303000366279,0.029885466280698745,0.05767876998895635,27.817864272897555
100,2.0193441184267252e-07,27.711226287349113,0.040018092697499286,0.06740429945786523,27.818648679504477
120,2.4232129421120703e-07,27.691707041096073,0.049366020337723415,0.07826611974474112,27.819339181178535
140,2.827081765797415e-07,27.673610232540195,0.05783041204528414,0.08846332296553688,27.819903967551017
160,3.2309505894827604e-07,27.657157939547336,0.06582946222044612,0.09733323247244667,27.82032063424023
180,3.634819413168105e-07,27.64052896245855,0.07347027579774043,0.10658849481191876,27.82058773306821
200,4.0386882368534505e-07,27.623625068092828,0.08090634582519884,0.11630934599337733,27.820840759911405
220,4.442557060538795e-07,27.607595161379177,0.08854339417525392,0.12487523280358223,27.821013788358012
240,4.846425884224141e-07,27.58886781695941,0.09636202653300942,0.1358763719481984,27.82110621544062
260,5.250294707909486e-07,27.572080464377493,0.10420789705048002,0.14515315639507975,27.82144151782305
280,5.65416353159483e-07,27.555438706519404,0.11218833923300192,0.1539401849583246,27.821567230710727
300,6.058032355280175e-07,27.537110056982243,0.12018992419001161,0.16436667090118795,27.821666652073443
320,6.461901178965521e-07,27.518025651972867,0.1284526905328594,0.17526607085882867,27.821744413364556
340,6.865770002650865e-07,27.500450727661644,0.13665309625543204,0.18466842164975136,27.821772245566827
360,7.26963882633621e-07,27.481134200639396,0.14517304505567946,0.19569600976285878,27.822003255457933
380,7.673507650021556e-07,27.46087006033062,0.15362183929847814,0.20769744331605333,27.82218934294515
400,8.077376473706901e-07,27.443153649287357,0.162458692948018,0.21677179602982394,27.8223841382652
420,8.481245297392245e-07,27.422285801211753,0.17171092832527682,0.22851286952140853,27.82250959905844
440,8.88511412107759e-07,27.39996343589679,0.18155637935232286,0.24055454527069217,27.822074360519807
460,9.288982944762936e-07,27.377368800027572,0.19271406603222366,0.2514094933916124,27.82149235945141
480,9.692851768448281e-07,27.3501880669041,0.20517900609871723,0.26570332793319207,27.82107040093601
500,1.0096720592133625e-06,27.32092017094821,0.21916125525942748,0.28161183800096734,27.8216932642086
520,1.0500589415818972e-06,27.291818766950954,0.23548912076205641,0.29619714024205107,27.82350502795506
540,1.0904458239504316e-06,27.258440306512362,0.2546395705439873,0.31406214977432945,27.82714202683068
560,1.130832706318966e-06,27.2247957556244,0.2765840929736857,0.330186938715732,27.831566787313815
580,1.1712195886875007e-06,27.19276869482444,0.30091869791363124,0.34142934556832283,27.835116738306393
600,1.211606471056035e-06,27.161043226969138,0.32657117710040384,0.35112616854979767,27.83874057261934
620,1.2519933534245695e-06,27.132578575377053,0.3511409844186903,0.3575154592217079,27.841235019017454
640,1.2923802357931041e-06,27.107964269189612,0.3737203305017465,0.3611532451170115,27.842837844808372
660,1.3327671181616386e-06,27.086990006059196,0.3932544047072408,0.3639620491530804,27.84420645991952
680,1.373154000530173e-06,27.070134335834503,0.40925115110600485,0.36580826559164226,27.84519375253215
700,1.4135408828987076e-06,27.057532104960785,0.4211191766787335,0.36692319671062446,27.84557447835014
720,1.453927765267242e-06,27.04813992691961,0.42988051151215123,0.367882841030768,27.84590327946253
740,1.4943146476357767e-06,27.041743335564544,0.4358795187723011,0.36873747505566334,27.846360329392507
760,1.5347015300043111e-06,27.037664367151166,0.43917344700476313,0.3694781166881693,27.8463159308441
780,1.5750884123728455e-06,27.03377565641335,0.44242176846361103,0.37074211571913646,27.846939540596097
800,1.6154752947413802e-06,27.029592011169232,0.4451207312382969,0.3721772097567285,27.846889952164258
