step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
10040,20.2742,19.218307,1,0.00,0.0000,0
10060,20.3146,19.218307,1,0.00,0.0000,0
10080,20.3550,19.218307,1,0.00,0.0000,0
10100,20.3954,19.218307,1,0.00,0.0000,0
10120,20.4358,19.218307,1,0.00,0.0000,0
10140,20.4761,19.218307,1,0.00,0.0000,0
10160,20.5165,19.218307,1,0.00,0.0000,0
10180,20.5569,19.218307,1,0.00,0.0000,0
10200,20.5973,19.218307,1,0.00,0.0000,0
10220,20.6377,19.218307,1,0.00,0.0000,0
10240,20.6781,19.218307,1,0.00,0.0000,0
10260,20.7185,19.670944,1,11207535.43,12.1835,0
10280,20.7589,19.683048,1,299704.71,0.3258,0
10300,20.7992,19.719829,1,910711.40,0.9900,0
10320,20.8396,19.731623,1,292021.80,0.3175,0
10340,20.8800,19.733022,1,34645.99,0.0377,0
10360,20.9204,19.781597,1,1202733.21,1.3075,0
10380,20.9608,19.806584,1,618689.60,0.6726,0
10400,21.0012,19.869751,1,1564046.99,1.7002,0
10420,21.0416,19.869751,1,0.00,0.0000,0
10440,21.0820,19.931519,1,1529401.00,1.6626,0
10460,21.1223,19.943313,1,292021.80,0.3175,0
10480,21.1627,20.018273,1,1856068.80,2.0177,0
10500,21.2031,20.100379,1,2032985.73,2.2100,0
10520,21.2435,20.109412,1,223643.55,0.2431,0
10540,21.2839,20.109412,1,0.00,0.0000,0
10560,21.3243,20.109412,1,0.00,0.0000,0
10580,21.3647,20.118307,1,220253.34,0.2394,0
10600,21.4050,20.118307,1,0.00,0.0000,0
10620,21.4454,20.118307,1,0.00,0.0000,0
10640,21.4858,20.118307,1,0.00,0.0000,0
10660,21.5262,20.118307,1,0.00,0.0000,0
10680,21.5666,20.118307,1,0.00,0.0000,0
10700,21.6070,20.118307,1,0.00,0.0000,0
10720,21.6474,20.118307,1,0.00,0.0000,0
10740,21.6878,20.118307,1,0.00,0.0000,0
10760,21.7281,20.118307,1,0.00,0.0000,0
10780,21.7685,20.118307,1,0.00,0.0000,0
10800,21.8089,20.536338,1,10350675.00,11.2520,0
10820,21.8493,20.558246,1,542432.86,0.5897,0
10840,21.8897,20.568030,1,242262.76,0.2634,0
10860,21.9301,20.631153,1,1562964.92,1.6991,0
10880,21.9705,20.642947,1,292021.80,0.3175,0
10900,22.0109,20.682526,1,980003.38,1.0653,0
10920,22.0512,20.694320,1,292021.80,0.3175,0
10940,22.0916,20.731101,1,910711.40,0.9900,0
10960,22.1320,20.744294,1,326667.79,0.3551,0
10980,22.1724,20.782474,1,945357.39,1.0277,0
11000,22.2128,20.831049,1,1202733.21,1.3075,0
11020,22.2532,20.844242,1,326667.79,0.3551,0
11040,22.2936,20.881023,1,910711.40,0.9900,0
11060,22.3339,20.931202,1,1242472.57,1.3507,0
11080,22.3743,21.009412,1,1936505.91,2.1051,0
11100,22.4147,21.009412,1,0.00,0.0000,0
11120,22.4551,21.009412,1,0.00,0.0000,0
11140,22.4955,21.009412,1,0.00,0.0000,0
11160,22.5359,21.018307,1,220253.34,0.2394,0
11180,22.5763,21.018307,1,0.00,0.0000,0
11200,22.6167,21.018307,1,0.00,0.0000,0
11220,22.6570,21.018307,1,0.00,0.0000,0
11240,22.6974,21.018307,1,0.00,0.0000,0
11260,22.7378,21.018307,1,0.00,0.0000,0
11280,22.7782,21.018307,1,0.00,0.0000,0
11300,22.8186,21.018307,1,0.00,0.0000,0
11320,22.8590,21.018307,1,0.00,0.0000,0
11340,22.8994,21.400000,1,9450916.53,10.2739,0
11360,22.9397,21.425738,1,637287.19,0.6928,0
11380,22.9801,21.443116,1,430291.08,0.4678,0
11400,23.0205,21.469299,1,648312.41,0.7048,0
11420,23.0609,21.518889,1,1227868.73,1.3348,0
11440,23.1013,21.557069,1,945357.39,1.0277,0
11460,23.1417,21.570262,1,326667.79,0.3551,0
11480,23.1821,21.595249,1,618689.60,0.6726,0
11500,23.2225,21.633429,1,945357.39,1.0277,0
11520,23.2628,21.657017,1,584043.61,0.6349,0
11540,23.3032,21.706991,1,1237379.20,1.3451,0
11560,23.3436,21.720184,1,326667.79,0.3551,0
11580,23.3840,21.756965,1,910711.40,0.9900,0
11600,23.4244,21.900379,1,3551016.34,3.8602,0
11620,23.4648,21.903405,1,74926.45,0.0815,0
11640,23.5052,21.909412,1,148717.10,0.1617,0
11660,23.5456,21.909412,1,0.00,0.0000,0
11680,23.5859,21.918307,1,220253.34,0.2394,0
11700,23.6263,21.918307,1,0.00,0.0000,0
11720,23.6667,21.918307,1,0.00,0.0000,0
11740,23.7071,21.918307,1,0.00,0.0000,0
11760,23.7475,21.918307,1,0.00,0.0000,0
11780,23.7879,21.918307,1,0.00,0.0000,0
11800,23.8283,21.918307,1,0.00,0.0000,0
11820,23.8686,21.918307,1,0.00,0.0000,0
11840,23.9090,21.918307,1,0.00,0.0000,0
11860,23.9494,21.918307,1,0.00,0.0000,0
11880,23.9898,21.918307,1,0.00,0.0000,0
11900,24.0302,21.929957,1,288450.77,0.3136,0
11920,24.0706,22.320463,1,9669143.53,10.5112,0
11940,24.1110,22.344711,1,600379.88,0.6527,0
11960,24.1514,22.408036,1,1567966.01,1.7045,0
11980,24.1917,22.419828,1,291980.76,0.3174,0
12000,24.2321,22.457999,1,945122.36,1.0274,0
12020,24.2725,22.469792,1,292020.44,0.3175,0
12040,24.3129,22.507972,1,945357.13,1.0277,0
12060,24.3533,22.532959,1,618689.44,0.6726,0
12080,24.3937,22.557946,1,618689.60,0.6726,0
12100,24.4341,22.569740,1,292021.80,0.3175,0
12120,24.4745,22.646100,1,1890712.35,2.0554,0
12140,24.5148,22.671087,1,618689.20,0.6726,0
12160,24.5552,22.696044,1,617958.40,0.6718,0
12180,24.5956,22.803405,1,2658311.26,2.8898,0
12200,24.6360,22.809412,1,148717.10,0.1617,0
12220,24.6764,22.818307,1,220253.34,0.2394,0
12240,24.7168,22.818307,1,0.00,0.0000,0
12260,24.7572,22.818307,1,0.00,0.0000,0
12280,24.7975,22.818307,1,0.00,0.0000,0
12300,24.8379,22.818307,1,0.00,0.0000,0
12320,24.8783,22.818307,1,0.00,0.0000,0
12340,24.9187,22.818307,1,0.00,0.0000,0
12360,24.9591,22.818307,1,0.00,0.0000,0
12380,24.9995,22.829957,1,288450.77,0.3136,0
12400,25.0399,22.829957,1,0.00,0.0000,0
12420,25.0803,22.829957,1,0.00,0.0000,0
12440,25.1206,22.829957,1,0.00,0.0000,0
12460,25.1610,22.829957,1,0.00,0.0000,0
12480,25.2014,22.829957,1,0.00,0.0000,0
12500,25.2418,23.295885,1,11536631.20,12.5413,0
12520,25.2822,23.309089,1,326946.72,0.3554,0
12540,25.3226,23.333941,1,615331.43,0.6689,0
12560,25.3630,23.370722,1,910711.40,0.9900,0
12580,25.4033,23.372121,1,34645.99,0.0377,0
12600,25.4437,23.408902,1,910711.40,0.9900,0
12620,25.4841,23.433889,1,618689.60,0.6726,0
12640,25.5245,23.445682,1,292021.80,0.3175,0
12660,25.5649,23.495656,1,1237379.20,1.3451,0
12680,25.6053,23.495656,1,0.00,0.0000,0
12700,25.6457,23.582411,1,2148090.60,2.3352,0
12720,25.6861,23.644179,1,1529401.00,1.6626,0
12740,25.7264,23.703405,1,1466481.81,1.5942,0
12760,25.7668,23.709412,1,148717.10,0.1617,0
12780,25.8072,23.718307,1,220253.34,0.2394,0
12800,25.8476,23.718307,1,0.00,0.0000,0
12820,25.8880,23.718307,1,0.00,0.0000,0
12840,25.9284,23.718307,1,0.00,0.0000,0
12860,25.9688,23.729957,1,288450.77,0.3136,0
12880,26.0092,23.729957,1,0.00,0.0000,0
12900,26.0495,23.729957,1,0.00,0.0000,0
12920,26.0899,23.729957,1,0.00,0.0000,0
12940,26.1303,23.729957,1,0.00,0.0000,0
12960,26.1707,23.729957,1,0.00,0.0000,0
12980,26.2111,23.729957,1,0.00,0.0000,0
13000,26.2515,24.117369,1,9592521.93,10.4279,0
13020,26.2919,24.150573,1,822148.36,0.8937,0
13040,26.3322,24.164032,1,333253.84,0.3623,0
13060,26.3726,24.211282,1,1169949.80,1.2718,0
13080,26.4130,24.246678,1,876408.27,0.9527,0
13100,26.4534,24.259860,1,326401.52,0.3548,0
13120,26.4938,24.296638,1,910634.97,0.9899,0
