load_fraction,force_N,newton_iterations,residual,tip_displacement_m
0.2,-2100000.000000001,3,31.487693724773646,-0.004250809748741377
0.4,-4200000.000000002,3,31.485815590800634,-0.008501340467164676
0.6,-6300000.000000002,3,2.8926793502754197e-05,-0.012751169129277526
0.8,-8400000.000000004,3,2.8904627924918872e-05,-0.016999873160274827
1.0,-10500000.000000004,3,3.2524407493240345e-05,-0.021247030699642826
