element,centroid_x,centroid_y,E,Gc,history
0,0.05555555555555555,0.027777777777777776,1000.0,1.0,3.199999999999999
1,0.027777777777777776,0.05555555555555555,1000.0,1.0,3.199999999999999
2,0.13888888888888887,0.027777777777777776,1000.0,1.0,3.199999999999999
3,0.1111111111111111,0.05555555555555555,1000.0,1.0,3.199999999999999
4,0.2222222222222222,0.027777777777777776,1000.0,1.0,3.2
5,0.19444444444444442,0.05555555555555555,1000.0,1.0,3.2
6,0.3055555555555555,0.027777777777777776,1000.0,1.0,3.2000000000000006
7,0.27777777777777773,0.05555555555555555,1000.0,1.0,3.2000000000000006
8,0.38888888888888884,0.027777777777777776,1000.0,1.0,3.2
9,0.3611111111111111,0.05555555555555555,1000.0,1.0,3.2
10,0.47222222222222215,0.027777777777777776,1000.0,1.0,3.199999999999999
11,0.4444444444444444,0.05555555555555555,1000.0,1.0,3.199999999999999
12,0.5555555555555555,0.027777777777777776,1000.0,1.0,3.2
13,0.5277777777777778,0.05555555555555555,1000.0,1.0,3.2
14,0.6388888888888888,0.027777777777777776,1000.0,1.0,3.199999999999999
15,0.611111111111111,0.05555555555555555,1000.0,1.0,3.199999999999999
16,0.7222222222222222,0.027777777777777776,1000.0,1.0,3.199999999999999
17,0.6944444444444443,0.05555555555555555,1000.0,1.0,3.199999999999999
18,0.8055555555555555,0.027777777777777776,1000.0,1.0,3.2
19,0.7777777777777777,0.05555555555555555,1000.0,1.0,3.2
20,0.8888888888888888,0.027777777777777776,1000.0,1.0,3.199999999999999
21,0.861111111111111,0.05555555555555555,1000.0,1.0,3.199999999999999
22,0.9722222222222222,0.027777777777777776,1000.0,1.0,3.1999999999999997
23,0.9444444444444443,0.05555555555555555,1000.0,1.0,3.1999999999999997
24,1.0555555555555554,0.027777777777777776,1000.0,1.0,3.1999999999999997
25,1.0277777777777777,0.05555555555555555,1000.0,1.0,3.1999999999999997
26,1.1388888888888888,0.027777777777777776,1000.0,1.0,3.2
27,1.111111111111111,0.05555555555555555,1000.0,1.0,3.2
28,1.222222222222222,0.027777777777777776,1000.0,1.0,3.1999999999999997
29,1.1944444444444444,0.05555555555555555,1000.0,1.0,3.1999999999999997
30,1.3055555555555554,0.027777777777777776,1000.0,0.35,3.2
31,1.2777777777777777,0.05555555555555555,1000.0,0.35,3.2
32,1.3888888888888886,0.027777777777777776,1000.0,0.35,3.2
33,1.361111111111111,0.05555555555555555,1000.0,0.35,3.2
34,1.472222222222222,0.027777777777777776,1000.0,1.0,3.1999999999999993
35,1.4444444444444444,0.05555555555555555,1000.0,1.0,3.1999999999999993
36,1.5555555555555554,0.027777777777777776,1000.0,1.0,3.1999999999999997
37,1.5277777777777777,0.05555555555555555,1000.0,1.0,3.1999999999999997
38,1.6388888888888886,0.027777777777777776,1000.0,1.0,3.1999999999999997
39,1.611111111111111,0.05555555555555555,1000.0,1.0,3.1999999999999997
40,1.722222222222222,0.027777777777777776,1000.0,1.0,3.1999999999999997
41,1.6944444444444444,0.05555555555555555,1000.0,1.0,3.1999999999999997
42,1.8055555555555554,0.027777777777777776,1000.0,1.0,3.1999999999999997
43,1.7777777777777777,0.05555555555555555,1000.0,1.0,3.1999999999999997
44,1.8888888888888886,0.027777777777777776,1000.0,1.0,3.1999999999999997
45,1.861111111111111,0.05555555555555555,1000.0,1.0,3.1999999999999997
46,1.972222222222222,0.027777777777777776,1000.0,1.0,3.1999999999999997
47,1.9444444444444444,0.05555555555555555,1000.0,1.0,3.1999999999999997
48,0.05555555555555555,0.1111111111111111,1000.0,1.0,3.199999999999999
49,0.027777777777777776,0.13888888888888887,1000.0,1.0,3.199999999999999
50,0.13888888888888887,0.1111111111111111,1000.0,1.0,3.199999999999999
51,0.1111111111111111,0.13888888888888887,1000.0,1.0,3.199999999999999
52,0.2222222222222222,0.1111111111111111,1000.0,1.0,3.2
53,0.19444444444444442,0.13888888888888887,1000.0,1.0,3.2
54,0.3055555555555555,0.1111111111111111,1000.0,1.0,3.2000000000000006
55,0.27777777777777773,0.13888888888888887,1000.0,1.0,3.2000000000000006
56,0.38888888888888884,0.1111111111111111,1000.0,1.0,3.2
57,0.3611111111111111,0.13888888888888887,1000.0,1.0,3.2
58,0.47222222222222215,0.1111111111111111,1000.0,1.0,3.199999999999999
59,0.4444444444444444,0.13888888888888887,1000.0,1.0,3.199999999999999
60,0.5555555555555555,0.1111111111111111,1000.0,1.0,3.2
61,0.5277777777777778,0.13888888888888887,1000.0,1.0,3.2
62,0.6388888888888888,0.1111111111111111,1000.0,1.0,3.199999999999999
63,0.611111111111111,0.13888888888888887,1000.0,1.0,3.199999999999999
64,0.7222222222222222,0.1111111111111111,1000.0,1.0,3.199999999999999
65,0.6944444444444443,0.13888888888888887,1000.0,1.0,3.199999999999999
66,0.8055555555555555,0.1111111111111111,1000.0,1.0,3.2
67,0.7777777777777777,0.13888888888888887,1000.0,1.0,3.2
68,0.8888888888888888,0.1111111111111111,1000.0,1.0,3.199999999999999
69,0.861111111111111,0.13888888888888887,1000.0,1.0,3.199999999999999
70,0.9722222222222222,0.1111111111111111,1000.0,1.0,3.1999999999999997
