node,x,y,damage
0,0.0,0.0,0.33862403750685266
1,0.08333333333333333,0.0,0.3386236584221742
2,0.16666666666666666,0.0,0.3386220877244389
3,0.25,0.0,0.3386163749066074
4,0.3333333333333333,0.0,0.33859675539886736
5,0.41666666666666663,0.0,0.33853315328888717
6,0.5,0.0,0.3383543157855128
7,0.5833333333333333,0.0,0.3380321031479765
8,0.6666666666666666,0.0,0.33784074608270803
9,0.75,0.0,0.3379685175203111
10,0.8333333333333333,0.0,0.33825053092324747
11,0.9166666666666666,0.0,0.33861285831521176
12,1.0,0.0,0.3394507205661112
13,1.0833333333333333,0.0,0.34277024290808394
14,1.1666666666666665,0.0,0.35774545836186467
15,1.25,0.0,0.42704661142391576
16,1.3333333333333333,0.0,0.5421491137224415
17,1.4166666666666665,0.0,0.40739101241767844
18,1.5,0.0,0.358692123380096
19,1.5833333333333333,0.0,0.34421629855932767
20,1.6666666666666665,0.0,0.3401388180426892
21,1.75,0.0,0.3390269274643912
22,1.8333333333333333,0.0,0.33873029676042865
23,1.9166666666666665,0.0,0.3386535022725726
24,2.0,0.0,0.3386395561051948
25,0.0,0.08333333333333333,0.3386237028194924
26,0.08333333333333333,0.08333333333333333,0.3386229846671081
27,0.16666666666666666,0.08333333333333333,0.33861971167641597
28,0.25,0.08333333333333333,0.33860750216940105
29,0.3333333333333333,0.08333333333333333,0.33856421983710183
30,0.41666666666666663,0.08333333333333333,0.33841796450334305
31,0.5,0.08333333333333333,0.3379891090930547
32,0.5833333333333333,0.08333333333333333,0.33721578319667384
33,0.6666666666666666,0.08333333333333333,0.33684415695229114
34,0.75,0.08333333333333333,0.3372570973474251
35,0.8333333333333333,0.08333333333333333,0.33789829078320505
36,0.9166666666666666,0.08333333333333333,0.3385227977148942
37,1.0,0.08333333333333333,0.3396144015845669
38,1.0833333333333333,0.08333333333333333,0.34336090244359263
39,1.1666666666666665,0.08333333333333333,0.3584231163580008
40,1.25,0.08333333333333333,0.4188124166833988
41,1.3333333333333333,0.08333333333333333,0.5416637741805751
42,1.4166666666666665,0.08333333333333333,0.4153094745106717
43,1.5,0.08333333333333333,0.35826702078965966
