step,max_d,max_H,Solid solve Time,Compute Strain Time,Driving Force Time,Phase Solve Time,Total Step Time
68,0.00282812,1.3827e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843163
69,0.00298402,1.3876e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005832672
70,0.00314399,1.3890e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005862474
71,0.00329442,1.4037e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005853891
72,0.00343327,1.4662e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005844831
73,0.00355891,1.5248e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005856991
74,0.00367000,1.5789e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005829334
75,0.00376551,1.6280e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005828381
76,0.00384477,1.6720e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005822182
77,0.00390962,1.7113e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005862713
78,0.00395941,1.7456e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831718
79,0.00399371,1.7748e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005837440
80,0.00401229,1.7986e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005816698
81,0.00401517,1.8168e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005838871
82,0.00401517,1.8295e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005820513
83,0.00401517,1.8368e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830288
84,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005824089
85,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.010391235
86,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.006120682
87,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005841017
88,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839109
89,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831480
90,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843401
91,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005844593
92,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005844355
93,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005852461
94,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005834341
95,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005815268
96,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843639
97,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005827665
98,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836487
99,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005850554
100,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.006063461
101,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005914688
102,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005821943
103,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005835056
104,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836964
105,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005828142
106,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005826712
107,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005835772
108,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005816698
109,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005867243
110,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005828381
111,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836964
112,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831003
113,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005832195
114,0.00401517,1.8387e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836010
115,0.00401517,1.8510e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005833626
116,0.00404810,1.8791e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005818605
117,0.00409804,1.9053e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005825043
118,0.00414159,1.9293e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831242
119,0.00417865,1.9513e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005835056
120,0.00420908,1.9709e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005805731
121,0.00423274,1.9883e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839825
122,0.00424942,2.0032e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839109
123,0.00425909,2.0158e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005833149
124,0.00426175,2.0259e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830050
125,0.00426175,2.0337e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831003
126,0.00426175,2.0390e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836248
127,0.00426175,2.0420e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005841732
128,0.00426175,2.0426e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005813122
129,0.00426175,2.0428e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005862236
130,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005842447
131,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005820036
132,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005848646
133,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005826712
134,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005838871
135,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005824327
136,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005832672
137,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830765
138,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005840063
139,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005821466
140,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005821943
141,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005826473
142,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843639
143,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839348
144,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830765
145,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843401
146,0.00426175,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005854845
147,0.00430554,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836725
148,0.00437234,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005821705
149,0.00443506,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005871773
150,0.00449339,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005840778
151,0.00454707,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005930662
152,0.00459589,2.0430e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005853653
153,0.00463964,2.0582e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005855322
154,0.00467816,2.0763e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839348
155,0.00471133,2.0927e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839348
156,0.00473904,2.1075e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830526
157,0.00476124,2.1205e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005842447
158,0.00477791,2.1318e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830050
159,0.00478906,2.1413e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005834341
160,0.00479473,2.1491e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836964
161,0.00479500,2.1551e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843401
162,0.00479500,2.1595e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005829573
163,0.00479500,2.1621e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005840778
164,0.00479500,2.1636e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005849600
165,0.00479500,2.1642e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005837917
166,0.00479500,2.1648e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005840063
167,0.00479500,2.1653e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005837917
168,0.00479500,2.1658e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005833387
169,0.00479500,2.1662e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005825758
170,0.00479500,2.1667e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839348
171,0.00479500,2.1672e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005842447
172,0.00479500,2.1678e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831003
173,0.00479500,2.1684e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005897522
174,0.00479500,2.1691e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843639
175,0.00479500,2.1699e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005849361
176,0.00479500,2.1707e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005840540
177,0.00479500,2.1717e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005846739
178,0.00479500,2.1727e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005855799
179,0.00479500,2.1739e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830526
180,0.00479500,2.1752e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005846024
181,0.00479500,2.1766e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005859613
182,0.00479500,2.1781e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005852461
