step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
16080,25.1776,18.461776,1,461229.21,0.5014,0
16100,25.2089,18.497120,1,1128624.03,1.2269,0
16120,25.2402,18.507569,1,333697.41,0.3628,0
16140,25.2715,18.522013,1,461229.21,0.5014,0
16160,25.3028,18.546906,1,794926.62,0.8642,0
16180,25.3342,18.561350,1,461229.21,0.5014,0
16200,25.3655,18.582250,1,667394.82,0.7255,0
16220,25.3968,18.611137,1,922458.43,1.0028,0
16240,25.4281,18.621587,1,333697.41,0.3628,0
16260,25.4594,18.646480,1,794926.62,0.8642,0
16280,25.4907,18.660924,1,461229.21,0.5014,0
16300,25.5220,18.675367,1,461229.21,0.5014,0
16320,25.5534,18.710687,1,1127874.09,1.2261,0
16340,25.5847,18.725154,1,461979.15,0.5022,0
16360,25.6160,18.735604,1,333697.41,0.3628,0
16380,25.6473,18.774941,1,1256155.84,1.3655,0
16400,25.6786,18.785391,1,333705.01,0.3628,0
16420,25.7099,18.799835,1,461221.61,0.5014,0
16440,25.7413,18.824728,1,794926.62,0.8642,0
16460,25.7726,18.839172,1,461229.21,0.5014,0
16480,25.8039,18.864065,1,794926.62,0.8642,0
16500,25.8352,18.874515,1,333697.41,0.3628,0
16520,25.8665,18.899408,1,794926.62,0.8642,0
16540,25.8978,18.924302,1,794926.62,0.8642,0
16560,25.9291,18.938745,1,461229.21,0.5014,0
16580,25.9605,18.953189,1,461229.21,0.5014,0
16600,25.9918,18.974089,1,667394.82,0.7255,0
16620,26.0231,18.988532,1,461229.21,0.5014,0
16640,26.0544,19.023875,1,1128624.03,1.2269,0
16660,26.0857,19.048769,1,794926.62,0.8642,0
16680,26.1170,19.073662,1,794926.62,0.8642,0
16700,26.1484,19.088106,1,461229.21,0.5014,0
16720,26.1797,19.112999,1,794926.62,0.8642,0
16740,26.2110,19.137893,1,794926.62,0.8642,0
16760,26.2423,19.152336,1,461229.21,0.5014,0
16780,26.2736,19.177230,1,794926.62,0.8642,0
16800,26.3049,19.187680,1,333697.41,0.3628,0
16820,26.3362,19.212573,1,794926.62,0.8642,0
16840,26.3676,19.227017,1,461229.21,0.5014,0
16860,26.3989,19.262360,1,1128624.03,1.2269,0
16880,26.4302,19.276804,1,461229.21,0.5014,0
16900,26.4615,19.301697,1,794926.62,0.8642,0
16920,26.4928,19.326591,1,794926.62,0.8642,0
16940,26.5241,19.341034,1,461229.21,0.5014,0
16960,26.5555,19.361934,1,667394.82,0.7255,0
16980,26.5868,19.386827,1,794926.62,0.8642,0
17000,26.6181,19.401271,1,461229.21,0.5014,0
17020,26.6494,19.415714,1,461229.21,0.5014,0
17040,26.6807,19.436614,1,667394.82,0.7255,0
17060,26.7120,19.465496,1,922285.93,1.0026,0
17080,26.7433,19.486401,1,667567.32,0.7257,0
17100,26.7747,19.490388,1,127330.55,0.1384,0
17120,26.8060,19.525738,1,1128825.28,1.2271,0
17140,26.8373,19.536188,1,333697.41,0.3628,0
17160,26.8686,19.550631,1,461229.21,0.5014,0
17180,26.8999,19.589968,1,1256155.84,1.3655,0
17200,26.9312,19.600418,1,333697.41,0.3628,0
17220,26.9626,19.614862,1,461229.21,0.5014,0
17240,26.9939,19.650205,1,1128624.03,1.2269,0
17260,27.0252,19.664649,1,461229.21,0.5014,0
17280,27.0565,19.689542,1,794926.62,0.8642,0
17300,27.0878,19.714436,1,794926.62,0.8642,0
17320,27.1191,19.728879,1,461229.21,0.5014,0
17340,27.1504,19.749779,1,667394.82,0.7255,0
17360,27.1818,19.774672,1,794926.62,0.8642,0
17380,27.2131,19.803560,1,922458.43,1.0028,0
17400,27.2444,19.824459,1,667394.82,0.7255,0
17420,27.2757,19.838903,1,461229.21,0.5014,0
17440,27.3070,19.853347,1,461232.20,0.5014,0
17460,27.3383,19.878240,1,794924.13,0.8641,0
17480,27.3697,19.903133,1,794926.21,0.8641,0
17500,27.4010,19.913583,1,333697.33,0.3628,0
17520,27.4323,19.942470,1,922458.43,1.0028,0
17540,27.4636,19.952920,1,333697.41,0.3628,0
17560,27.4949,19.967364,1,461229.21,0.5014,0
17580,27.5262,19.992257,1,794926.62,0.8642,0
17600,27.5575,20.002707,1,333697.41,0.3628,0
17620,27.5889,20.027601,1,794926.62,0.8642,0
17640,27.6202,20.052494,1,794926.62,0.8642,0
17660,27.6515,20.066938,1,461229.21,0.5014,0
17680,27.6828,20.102281,1,1128624.03,1.2269,0
17700,27.7141,20.116724,1,461229.21,0.5014,0
17720,27.7454,20.127174,1,333697.41,0.3628,0
17740,27.7768,20.152068,1,794926.62,0.8642,0
17760,27.8081,20.180955,1,922458.43,1.0028,0
17780,27.8394,20.201855,1,667394.82,0.7255,0
17800,27.8707,20.216298,1,461229.21,0.5014,0
17820,27.9020,20.241192,1,794926.62,0.8642,0
17840,27.9333,20.276535,1,1128624.03,1.2269,0
17860,27.9646,20.280529,1,127531.80,0.1386,0
17880,27.9960,20.305422,1,794926.62,0.8642,0
17900,28.0273,20.330316,1,794926.62,0.8642,0
17920,28.0586,20.355209,1,794926.62,0.8642,0
17940,28.0899,20.365659,1,333697.41,0.3628,0
17960,28.1212,20.390552,1,794926.62,0.8642,0
17980,28.1525,20.415446,1,794926.62,0.8642,0
18000,28.1839,20.429889,1,461229.21,0.5014,0
18020,28.2152,20.454808,1,795727.09,0.8650,0
18040,28.2465,20.465360,1,336952.98,0.3663,0
18060,28.2778,20.501166,1,1143423.28,1.2430,0
18080,28.3091,20.504896,1,119082.38,0.1295,0
18100,28.3404,20.529616,1,789400.13,0.8581,0
18120,28.3717,20.554357,1,790047.25,0.8588,0
18140,28.4031,20.568800,1,461229.21,0.5014,0
18160,28.4344,20.589700,1,667394.82,0.7255,0
18180,28.4657,20.604143,1,461229.21,0.5014,0
18200,28.4970,20.629037,1,794926.62,0.8642,0
18220,28.5283,20.643480,1,461229.21,0.5014,0
18240,28.5596,20.668374,1,794926.62,0.8642,0
18260,28.5910,20.689274,1,667394.82,0.7255,0
18280,28.6223,20.703717,1,461229.21,0.5014,0
18300,28.6536,20.718161,1,461229.21,0.5014,0
18320,28.6849,20.743054,1,794926.62,0.8642,0
18340,28.7162,20.778398,1,1128624.03,1.2269,0
18360,28.7475,20.782391,1,127531.80,0.1386,0
18380,28.7788,20.807285,1,794926.62,0.8642,0
18400,28.8102,20.817735,1,333697.41,0.3628,0
18420,28.8415,20.832178,1,461229.21,0.5014,0
18440,28.8728,20.867521,1,1128624.03,1.2269,0
18460,28.9041,20.881965,1,461229.21,0.5014,0
18480,28.9354,20.906858,1,794926.62,0.8642,0
18500,28.9667,20.917308,1,333697.41,0.3628,0
18520,28.9981,20.942202,1,794926.62,0.8642,0
18540,29.0294,20.967095,1,794926.62,0.8642,0
18560,29.0607,20.981539,1,461229.21,0.5014,0
18580,29.0920,20.991989,1,333697.41,0.3628,0
18600,29.1233,21.016882,1,794926.62,0.8642,0
18620,29.1546,21.041776,1,794926.62,0.8642,0
18640,29.1859,21.052225,1,333697.41,0.3628,0
18660,29.2173,21.081113,1,922458.43,1.0028,0
18680,29.2486,21.106006,1,794926.62,0.8642,0
18700,29.2799,21.116456,1,333697.41,0.3628,0
18720,29.3112,21.130899,1,461229.21,0.5014,0
18740,29.3425,21.166243,1,1128624.03,1.2269,0
18760,29.3738,21.180686,1,461229.21,0.5014,0
18780,29.4052,21.191136,1,333697.41,0.3628,0
18800,29.4365,21.205580,1,461229.21,0.5014,0
18820,29.4678,21.220023,1,461229.21,0.5014,0
18840,29.4991,21.265816,1,1462321.44,1.5897,0
18860,29.5304,21.269810,1,127531.80,0.1386,0
