time_s,iterations,residual,error_vs_float64,converged
6.978686670045135543e-01,5.000000000000000000e+03,1.963280147909045479e-08,0.000000000000000000e+00,1.000000000000000000e+00
6.593528329976834357e-01,5.001000000000000000e+03,1.006085875574881250e+01,1.802077679205261873e+01,1.000000000000000000e+00
2.561475540991523303e+00,1.970500000000000000e+04,3.894478418536698544e-10,3.281482807783197730e-07,1.000000000000000000e+00
