step,elapsed_s
0,0.010286457982147112
1,0.24269749998347834
2,0.016218750010011718
3,0.016826042003231123
4,0.016166582994628698
5,0.017595833021914586
6,0.016898291010875255
7,0.0218580839864444
8,0.023880416993051767
9,0.017161666008178145
10,0.017831125005614012
